Batch, Algorithm, Group, Mean, Samples, Variance
113, ab, control, 0.376055, 4502, 0.234690
113, bandit, control, 0.407482, 7431, 0.241473
113, ab, test, 0.194404, 6898, 0.156634
113, bandit, test, 0.197531, 3969, 0.158552
114, ab, control, 0.375799, 4537, 0.234626
114, bandit, control, 0.407150, 7496, 0.241411
114, ab, test, 0.195031, 6963, 0.157016
114, bandit, test, 0.197552, 4004, 0.158565
115, ab, control, 0.375682, 4581, 0.234596
115, bandit, control, 0.407192, 7564, 0.241419
115, ab, test, 0.195184, 7019, 0.157110
115, bandit, test, 0.198216, 4036, 0.158966
116, ab, control, 0.375946, 4623, 0.234661
116, bandit, control, 0.407451, 7623, 0.241466
116, ab, test, 0.196270, 7077, 0.157770
116, bandit, test, 0.198675, 4077, 0.159243
117, ab, control, 0.375643, 4664, 0.234586
117, bandit, control, 0.407542, 7690, 0.241483
117, ab, test, 0.196328, 7136, 0.157806
117, bandit, test, 0.198054, 4110, 0.158867
118, ab, control, 0.375692, 4698, 0.234597
118, bandit, control, 0.407384, 7747, 0.241453
118, ab, test, 0.196057, 7202, 0.157640
118, bandit, test, 0.197929, 4153, 0.158791
119, ab, control, 0.375632, 4744, 0.234582
119, bandit, control, 0.407578, 7812, 0.241489
119, ab, test, 0.195562, 7256, 0.157339
119, bandit, test, 0.196991, 4188, 0.158224
120, ab, control, 0.375261, 4786, 0.234489
120, bandit, control, 0.407191, 7871, 0.241417
120, ab, test, 0.195242, 7314, 0.157144
120, bandit, test, 0.196973, 4229, 0.158212
121, ab, control, 0.376322, 4823, 0.234752
121, bandit, control, 0.407085, 7932, 0.241397
121, ab, test, 0.195337, 7377, 0.157202
121, bandit, test, 0.195876, 4268, 0.157546
122, ab, control, 0.375077, 4871, 0.234442
122, bandit, control, 0.407801, 7999, 0.241530
122, ab, test, 0.195046, 7429, 0.157024
122, bandit, test, 0.196698, 4301, 0.158045
123, ab, control, 0.374796, 4904, 0.234372
123, bandit, control, 0.407692, 8060, 0.241509
123, ab, test, 0.195037, 7496, 0.157019
123, bandit, test, 0.197926, 4340, 0.158788
124, ab, control, 0.373560, 4947, 0.234060
124, bandit, control, 0.407704, 8126, 0.241511
124, ab, test, 0.195551, 7553, 0.157332
124, bandit, test, 0.198217, 4374, 0.158963
125, ab, control, 0.374197, 4984, 0.234221
125, bandit, control, 0.407597, 8187, 0.241491
125, ab, test, 0.195903, 7616, 0.157546
125, bandit, test, 0.197825, 4413, 0.158726
126, ab, control, 0.375050, 5034, 0.234434
126, bandit, control, 0.407170, 8257, 0.241412
126, ab, test, 0.195278, 7666, 0.157165
126, bandit, test, 0.198515, 4443, 0.159142
127, ab, control, 0.375345, 5078, 0.234507
127, bandit, control, 0.407038, 8326, 0.241387
127, ab, test, 0.194898, 7722, 0.156933
127, bandit, test, 0.198033, 4474, 0.158851
128, ab, control, 0.375341, 5126, 0.234506
128, bandit, control, 0.407050, 8397, 0.241389
128, ab, test, 0.195266, 7774, 0.157158
128, bandit, test, 0.197424, 4503, 0.158483
129, ab, control, 0.375847, 5167, 0.234631
129, bandit, control, 0.406708, 8468, 0.241325
129, ab, test, 0.195327, 7833, 0.157195
129, bandit, test, 0.196602, 4532, 0.157984
130, ab, control, 0.376441, 5204, 0.234778
130, bandit, control, 0.407082, 8529, 0.241394
130, ab, test, 0.195415, 7896, 0.157248
130, bandit, test, 0.196237, 4571, 0.157763
131, ab, control, 0.376836, 5241, 0.234876
131, bandit, control, 0.406606, 8598, 0.241306
131, ab, test, 0.195502, 7959, 0.157301
131, bandit, test, 0.195784, 4602, 0.157487
132, ab, control, 0.376281, 5270, 0.234738
132, bandit, control, 0.406077, 8656, 0.241206
132, ab, test, 0.195890, 8030, 0.157537
132, bandit, test, 0.196167, 4644, 0.157720
133, ab, control, 0.377422, 5315, 0.235019
133, bandit, control, 0.405799, 8726, 0.241154
133, ab, test, 0.195795, 8085, 0.157479
133, bandit, test, 0.197475, 4674, 0.158513
134, ab, control, 0.377101, 5354, 0.234940
134, bandit, control, 0.405642, 8791, 0.241124
134, ab, test, 0.195802, 8146, 0.157483
134, bandit, test, 0.198131, 4709, 0.158909
135, ab, control, 0.376967, 5401, 0.234906
135, bandit, control, 0.405576, 8859, 0.241111
135, ab, test, 0.196487, 8199, 0.157899
135, bandit, test, 0.197638, 4741, 0.158610
136, ab, control, 0.377116, 5436, 0.234943
136, bandit, control, 0.405242, 8928, 0.241048
136, ab, test, 0.196878, 8264, 0.158136
136, bandit, test, 0.197821, 4772, 0.158721
137, ab, control, 0.377259, 5479, 0.234977
137, bandit, control, 0.405180, 8996, 0.241036
137, ab, test, 0.196731, 8321, 0.158047
137, bandit, test, 0.197544, 4804, 0.158553
138, ab, control, 0.378188, 5529, 0.235204
138, bandit, control, 0.405361, 9066, 0.241070
138, ab, test, 0.196392, 8371, 0.157841
138, bandit, test, 0.197766, 4834, 0.158687
139, ab, control, 0.379155, 5565, 0.235439
139, bandit, control, 0.405255, 9135, 0.241050
139, ab, test, 0.195851, 8435, 0.157512
139, bandit, test, 0.197945, 4865, 0.158795
140, ab, control, 0.378812, 5607, 0.235355
140, bandit, control, 0.405543, 9200, 0.241104
140, ab, test, 0.196044, 8493, 0.157629
140, bandit, test, 0.198163, 4900, 0.158927
141, ab, control, 0.378675, 5646, 0.235322
141, bandit, control, 0.405936, 9265, 0.241178
141, ab, test, 0.196166, 8554, 0.157703
141, bandit, test, 0.197771, 4935, 0.158690
142, ab, control, 0.379395, 5688, 0.235496
142, bandit, control, 0.406196, 9328, 0.241227
142, ab, test, 0.196470, 8612, 0.157888
142, bandit, test, 0.198713, 4972, 0.159258
143, ab, control, 0.379383, 5733, 0.235493
143, bandit, control, 0.406919, 9395, 0.241362
143, ab, test, 0.196031, 8667, 0.157621
143, bandit, test, 0.199401, 5005, 0.159672
144, ab, control, 0.379675, 5776, 0.235563
144, bandit, control, 0.406805, 9464, 0.241340
144, ab, test, 0.195667, 8724, 0.157400
144, bandit, test, 0.198570, 5036, 0.159172
145, ab, control, 0.380756, 5820, 0.235821
